name,longitude,latitude
boissey,5,46.3833
salavre,5.35,46.3667
brion,5.55251,46.1728
labalme,5.48333,46.1
sauverny,6.11667,46.3167
montceaux,4.8,46.1
brenod,5.6,46.0667
miserieux,4.81667,45.9833
prevessin moens,6.08333,46.25
lent,5.2,46.1167
marsonnas,5.06667,46.3333
manziat,4.9,46.35
trevoux,4.76667,45.9333
bellegarde sur valserine,5.81667,46.1
bourg en bresse,5.21667,46.2
confort,5.81667,46.15
saint denis les bourg,5.2,46.2
massignieu de rives,5.76667,45.75
saint etienne sur chalaronne,4.86667,46.15
bohas meyriat rignat,5.4,46.1333
chevry,6.03333,46.2833
fareins,4.76667,46.0167
gorrevod,4.95,46.4167
valeins,4.86667,46.1167
vieu d izenave,5.53333,46.0833
toussieux,4.83333,45.9667
arbigny,4.96667,46.4667
malafretaz,5.15,46.3167
samognat,5.58333,46.25
cras sur reyssouze,5.16667,46.3
messimy sur saone,4.76473,46.0484
pougny,5.95,46.1333
sandrans,4.98333,46.0667
pont de veyle,4.88333,46.2667
mijoux,6,46.3667
saint jean de gonville,5.95,46.2167
saint andre le bouchoux,5.08333,46.1167
chaneins,4.85,46.1
joyeux,5.1,45.95
tramoyes,4.96667,45.8667
biziat,4.93333,46.2167
izenave,5.53333,46.0333
belmont luthezieu,5.66167,45.8795
arbent,5.68333,46.3
sutrieu,5.65,45.95
serrieres de briord,5.45445,45.8081
aranc,5.5,46
chaley,5.53333,45.95
curciat dongalon,5.15,46.4667
loyettes,5.2,45.7667
gex,6.06667,46.3333
courtes,5.1,46.4667
bereziat,5.05,46.3667
lapeyrouse,4.96667,45.9833
apremont,5.65833,46.2083
villieu loyes mollon,5.22223,45.9206
leyment,5.3,45.9167
etrez,5.18333,46.3333
gercy,3.86667,49.8167
villemontoire,3.33333,49.3
brancourt le grand,3.38333,49.9667
licy clignon,3.26667,49.1
proisy,3.73333,49.9
chambry,3.65,49.6
mont saint jean,4.2,49.7833
morgny en thierache,4.06667,49.7667
mesnil saint laurent,3.35,49.8333
annois,3.16667,49.7167
brunehamel,4.18333,49.7667
audignicourt,3.13333,49.4833
montigny sur crecy,3.58333,49.7167
lor,4.05,49.5333
chivres en laonnois,3.85,49.6333
saint gobain,3.38333,49.6
ugny le gay,3.16667,49.6667
happencourt,3.18333,49.7833
prouvais,3.98333,49.4667
azy sur marne,3.36667,49
terny sorny,3.36667,49.45
droizy,3.38333,49.2833
pignicourt,4.03333,49.4167
moussy verneuil,3.63333,49.4167
aguilcourt,3.96667,49.4
montaigu,3.83333,49.5333
moulins,3.68333,49.4167
saulchery,3.3,48.9833
nanteuil la fosse,3.45,49.4333
guignicourt,3.96667,49.4333
bucy le long,3.38333,49.4
longpont,3.21667,49.2667
montgobert,3.15,49.3
noircourt,4.1,49.6667
rozet saint albin,3.3,49.2
chivy les etouvelles,3.58333,49.5167
chavonne,3.56667,49.4
artonges,3.55,48.9333
oisy,3.66667,50.0167
juvigny,3.31667,49.45
marchais en brie,3.48333,48.8833
bouconville vauclair,3.75556,49.4656
la bouteille,3.96667,49.8667
ly fontaine,3.3,49.7167
logny les aubenton,4.2,49.8333
cuirieux,3.81667,49.6833
iron,3.66667,49.95
joncourt,3.3,49.95
effry,4,49.9333
jumigny,3.71667,49.4167
chaourse,4,49.7
saint remy blanzy,3.3,49.2333
beaumont en beine,3.13333,49.7
le plessier huleu,3.35,49.2333
estrees,3.28333,49.9667
baulne en brie,3.61667,48.9833
guivry,3.11667,49.65
variscourt,3.98333,49.4167
chatillon sur oise,3.4,49.7833
soissons,3.33333,49.3667
bray saint christophe,3.15,49.7667
le herie la vieville,3.63333,49.8167
aubenton,4.2,49.8333
braye,3.36667,49.4333
brissay choigny,3.36667,49.7167
remaucourt,3.33333,49.9
seraucourt le grand,3.21667,49.7833
berry au bac,3.9,49.4
vivaise,3.56667,49.6167
proviseux et plesnoy,4,49.4667
caumont,3.18333,49.6167
villers le sec,3.5,49.7833
vichel nanteuil,3.28333,49.1833
romery,3.73333,49.9
fontaine les clercs,3.21667,49.8
chery les pouilly,3.6,49.65
pithon,3.1,49.75
beaurieux,3.73333,49.4
sinceny,3.25,49.6
bouffignereux,3.85,49.3667
saint gengoulph,3.21667,49.1167
pargny les bois,3.61667,49.7167
montigny l allier,3.1,49.1167
beuvardes,3.48333,49.15
cuissy et geny,3.7,49.4167
reuilly sauvigny,3.55,49.0667
vailly sur aisne,3.51667,49.4167
bievres,3.71667,49.5
berny riviere,3.15,49.4167
perles,3.65,49.3167
fontenelle en brie,3.48333,48.9167
